DATE,WPU01830131
2000-01-01,83.3750000000000000
2001-01-01,78.6416666666666667
2002-01-01,87.7083333333333333
2003-01-01,108.7833333333333333
2004-01-01,130.0083333333333333
2005-01-01,102.5916666666666667
2006-01-01,96.8250000000000000
2007-01-01,137.9333333333333333
2008-01-01,203.8750000000000000
2009-01-01,175.9000000000000000
2010-01-01,177.0583333333333333
2011-01-01,219.6166666666666667
2012-01-01,248.5833333333333333
2013-01-01,243.8666666666666667
2014-01-01,213.6166666666666667
2015-01-01,160.7750000000000000
2016-01-01,165.4916666666666667
2017-01-01,161.7333333333333333
2018-01-01,154.0250000000000000
2019-01-01,145.6083333333333333
